Source;Target;Type;Weight
116;173;Undirected;1
111;138;Undirected;1
195;181;Undirected;1
611;689;Undirected;1
515;427;Undirected;1
388;442;Undirected;1
754;720;Undirected;1
179;495;Undirected;1
161;695;Undirected;1
8;38;Undirected;1
8;13;Undirected;1
615;37;Undirected;1
446;988;Undirected;1
619;698;Undirected;1
229;204;Undirected;1
604;130;Undirected;1
284;193;Undirected;1
866;854;Undirected;1
692;477;Undirected;1
962;944;Undirected;1
304;430;Undirected;1
660;670;Undirected;1
277;510;Undirected;1
509;528;Undirected;1
430;715;Undirected;1
627;700;Undirected;1
187;535;Undirected;1
941;255;Undirected;1
514;593;Undirected;1
963;766;Undirected;1
775;796;Undirected;1
702;742;Undirected;1
318;343;Undirected;1
512;692;Undirected;1
416;479;Undirected;1
240;476;Undirected;1
639;622;Undirected;1
673;684;Undirected;1
78;39;Undirected;1
90;78;Undirected;1
167;830;Undirected;1
414;460;Undirected;1
466;869;Undirected;1
456;464;Undirected;1
214;239;Undirected;1
884;167;Undirected;1
812;838;Undirected;1
426;105;Undirected;1
286;284;Undirected;1
136;798;Undirected;1
369;348;Undirected;1
526;495;Undirected;1
529;521;Undirected;1
776;951;Undirected;1
479;84;Undirected;1
341;184;Undirected;1
838;851;Undirected;1
695;641;Undirected;1
537;529;Undirected;1
381;325;Undirected;1
576;511;Undirected;1
223;205;Undirected;1
60;696;Undirected;1
526;951;Undirected;1
895;868;Undirected;1
804;847;Undirected;1
56;23;Undirected;1
436;498;Undirected;1
706;742;Undirected;1
539;551;Undirected;1
92;22;Undirected;1
834;886;Undirected;1
46;95;Undirected;1
102;162;Undirected;1
47;19;Undirected;1
383;210;Undirected;1
645;159;Undirected;1
87;709;Undirected;1
418;477;Undirected;1
846;699;Undirected;1
915;916;Undirected;1
798;913;Undirected;1
385;400;Undirected;1
384;386;Undirected;1
848;365;Undirected;1
462;378;Undirected;1
721;755;Undirected;1
897;651;Undirected;1
878;520;Undirected;1
524;251;Undirected;1
560;561;Undirected;1
