Source;Target;Type;Weight
116;173;Undirected;1
111;138;Undirected;1
195;181;Undirected;1
611;689;Undirected;1
585;515;Undirected;1
384;355;Undirected;1
147;138;Undirected;1
961;952;Undirected;1
895;877;Undirected;1
661;695;Undirected;1
8;38;Undirected;1
8;13;Undirected;1
627;641;Undirected;1
646;615;Undirected;1
588;521;Undirected;1
898;876;Undirected;1
872;397;Undirected;1
330;313;Undirected;1
184;193;Undirected;1
866;854;Undirected;1
695;692;Undirected;1
180;162;Undirected;1
864;875;Undirected;1
951;937;Undirected;1
996;923;Undirected;1
577;510;Undirected;1
509;528;Undirected;1
458;430;Undirected;1
827;700;Undirected;1
187;535;Undirected;1
941;255;Undirected;1
514;593;Undirected;1
963;766;Undirected;1
775;796;Undirected;1
702;742;Undirected;1
318;343;Undirected;1
507;512;Undirected;1
925;916;Undirected;1
753;785;Undirected;1
554;577;Undirected;1
192;117;Undirected;1
359;321;Undirected;1
824;891;Undirected;1
732;259;Undirected;1
946;975;Undirected;1
971;965;Undirected;1
569;508;Undirected;1
564;510;Undirected;1
306;849;Undirected;1
367;312;Undirected;1
138;121;Undirected;1
426;105;Undirected;1
286;284;Undirected;1
136;798;Undirected;1
369;348;Undirected;1
526;495;Undirected;1
529;521;Undirected;1
776;951;Undirected;1
479;84;Undirected;1
302;341;Undirected;1
179;138;Undirected;1
447;495;Undirected;1
337;529;Undirected;1
381;325;Undirected;1
576;511;Undirected;1
223;205;Undirected;1
77;60;Undirected;1
976;950;Undirected;1
78;9;Undirected;1
716;739;Undirected;1
632;681;Undirected;1
232;215;Undirected;1
722;748;Undirected;1
186;146;Undirected;1
11;91;Undirected;1
183;169;Undirected;1
541;646;Undirected;1
472;402;Undirected;1
147;19;Undirected;1
373;383;Undirected;1
547;562;Undirected;1
841;891;Undirected;1
609;643;Undirected;1
716;689;Undirected;1
599;578;Undirected;1
416;460;Undirected;1
998;913;Undirected;1
385;400;Undirected;1
384;386;Undirected;1
848;365;Undirected;1
462;378;Undirected;1
