Source;Target;Type;Weight
116;173;Undirected;1
111;138;Undirected;1
195;181;Undirected;1
689;60;Undirected;1
415;427;Undirected;1
388;442;Undirected;1
754;720;Undirected;1
179;495;Undirected;1
161;695;Undirected;1
8;38;Undirected;1
13;759;Undirected;1
641;615;Undirected;1
600;446;Undirected;1
19;698;Undirected;1
229;204;Undirected;1
604;130;Undirected;1
284;193;Undirected;1
854;574;Undirected;1
477;192;Undirected;1
144;119;Undirected;1
404;430;Undirected;1
670;996;Undirected;1
256;277;Undirected;1
436;409;Undirected;1
345;358;Undirected;1
409;467;Undirected;1
962;776;Undirected;1
500;83;Undirected;1
415;436;Undirected;1
224;260;Undirected;1
231;508;Undirected;1
572;538;Undirected;1
144;518;Undirected;1
107;512;Undirected;1
925;916;Undirected;1
753;785;Undirected;1
554;577;Undirected;1
192;117;Undirected;1
321;878;Undirected;1
390;78;Undirected;1
167;830;Undirected;1
414;460;Undirected;1
466;869;Undirected;1
456;464;Undirected;1
239;306;Undirected;1
167;312;Undirected;1
138;121;Undirected;1
426;105;Undirected;1
286;284;Undirected;1
136;798;Undirected;1
348;871;Undirected;1
495;528;Undirected;1
821;98;Undirected;1
593;65;Undirected;1
884;824;Undirected;1
184;2;Undirected;1
751;775;Undirected;1
484;76;Undirected;1
894;381;Undirected;1
476;511;Undirected;1
223;205;Undirected;1
60;696;Undirected;1
526;951;Undirected;1
895;868;Undirected;1
847;332;Undirected;1
523;532;Undirected;1
598;522;Undirected;1
586;146;Undirected;1
22;183;Undirected;1
397;541;Undirected;1
402;162;Undirected;1
19;665;Undirected;1
206;947;Undirected;1
459;441;Undirected;1
787;709;Undirected;1
418;477;Undirected;1
846;699;Undirected;1
916;460;Undirected;1
998;913;Undirected;1
400;411;Undirected;1
311;529;Undirected;1
765;739;Undirected;1
378;174;Undirected;1
55;13;Undirected;1
656;9;Undirected;1
720;733;Undirected;1
524;251;Undirected;1
560;561;Undirected;1
680;244;Undirected;1
561;697;Undirected;1
661;615;Undirected;1
